File;TP;FP;FN;Precision;Recall;F1
p186_c1;17;1;38;0.9444444444444444;0.3090909090909091;0.4657534246575342
p186_c2;2;0;18;1.0;0.1;0.18181818181818182
p187_c1;7;1;38;0.875;0.15555555555555556;0.26415094339622647
p187_c2;3;0;55;1.0;0.05172413793103448;0.09836065573770492
p187_c3;4;1;30;0.8;0.11764705882352941;0.20512820512820512
p188_c1;15;6;4;0.7142857142857143;0.7894736842105263;0.7500000000000001
p188_c2;8;8;51;0.5;0.13559322033898305;0.21333333333333335
p189_c1;14;2;24;0.875;0.3684210526315789;0.5185185185185185
p190_c1;43;4;24;0.9148936170212766;0.6417910447761194;0.7543859649122806
p190_c2;57;4;25;0.9344262295081968;0.6951219512195121;0.7972027972027972
p192_c1;38;1;29;0.9743589743589743;0.5671641791044776;0.7169811320754718
p192_c2;7;0;15;1.0;0.3181818181818182;0.4827586206896552
p194_c1;35;2;14;0.9459459459459459;0.7142857142857143;0.813953488372093
p194_c2;4;4;49;0.5;0.07547169811320754;0.13114754098360656
p194_c3;4;3;52;0.5714285714285714;0.07142857142857142;0.12698412698412698
p195_c1;7;1;42;0.875;0.14285714285714285;0.2456140350877193
p195_c2;5;7;24;0.4166666666666667;0.1724137931034483;0.2439024390243903
p195_c3;0;1;14;0.0;0.0;0
p198_c1;16;8;49;0.6666666666666666;0.24615384615384617;0.3595505617977528
p199_c1;20;4;98;0.8333333333333334;0.1694915254237288;0.2816901408450704
p201_c1;33;6;11;0.8461538461538461;0.75;0.7951807228915662
p202_c1;0;1;58;0.0;0.0;0
p204_c1;8;0;29;1.0;0.21621621621621623;0.35555555555555557
p204_c2;5;2;20;0.7142857142857143;0.2;0.3125
p204_c3;21;2;6;0.9130434782608695;0.7777777777777778;0.84
p205_c1;53;2;43;0.9636363636363636;0.5520833333333334;0.7019867549668874
p205_c2;25;0;37;1.0;0.4032258064516129;0.5747126436781609
p206_c1;13;2;17;0.8666666666666667;0.43333333333333335;0.5777777777777778
p207_c1;25;2;32;0.9259259259259259;0.43859649122807015;0.5952380952380952
p207_c2;16;1;9;0.9411764705882353;0.64;0.7619047619047621
p207_c3;10;1;18;0.9090909090909091;0.35714285714285715;0.5128205128205129
p208_c1;34;2;14;0.9444444444444444;0.7083333333333334;0.8095238095238096
p208_c2;12;0;14;1.0;0.46153846153846156;0.631578947368421
p209_c1;44;5;27;0.8979591836734694;0.6197183098591549;0.7333333333333333
p209_c2;7;0;45;1.0;0.1346153846153846;0.23728813559322035
p215_c1;16;2;17;0.8888888888888888;0.48484848484848486;0.6274509803921569
p215_c2;31;3;24;0.9117647058823529;0.5636363636363636;0.6966292134831461
p215_c3;17;1;19;0.9444444444444444;0.4722222222222222;0.6296296296296297
p217_c1;3;1;35;0.75;0.07894736842105263;0.14285714285714285
p217_c2;5;0;19;1.0;0.20833333333333334;0.3448275862068966
p217_c3;13;0;6;1.0;0.6842105263157895;0.8125000000000001
p218_c1;2;2;38;0.5;0.05;0.09090909090909091
p218_c2;4;1;23;0.8;0.14814814814814814;0.25
p218_c3;14;1;19;0.9333333333333333;0.42424242424242425;0.5833333333333333
p218_c4;6;1;9;0.8571428571428571;0.4;0.5454545454545455
p219_c1;28;1;17;0.9655172413793104;0.6222222222222222;0.7567567567567567
p219_c2;26;5;7;0.8387096774193549;0.7878787878787878;0.8125
p220_c1;19;4;35;0.8260869565217391;0.35185185185185186;0.49350649350649356
p220_c2;3;1;4;0.75;0.42857142857142855;0.5454545454545454
p221_c1;29;1;90;0.9666666666666667;0.24369747899159663;0.38926174496644295
p224_c1;39;6;21;0.8666666666666667;0.65;0.7428571428571429
p226_c1;35;5;24;0.875;0.5932203389830508;0.707070707070707
p226_c2;19;2;11;0.9047619047619048;0.6333333333333333;0.7450980392156863
p229_c1;53;3;5;0.9464285714285714;0.9137931034482759;0.9298245614035087
p229_c2;25;0;8;1.0;0.7575757575757576;0.8620689655172413
p230_c1;41;10;9;0.803921568627451;0.82;0.8118811881188118
p230_c2;4;0;40;1.0;0.09090909090909091;0.16666666666666669
p231_c1;2;0;96;1.0;0.02040816326530612;0.039999999999999994
p231_c2;16;2;20;0.8888888888888888;0.4444444444444444;0.5925925925925926
p232_c1;6;1;69;0.8571428571428571;0.08;0.14634146341463417
p233_c1;8;8;23;0.5;0.25806451612903225;0.3404255319148936
p234_c1;24;2;25;0.9230769230769231;0.4897959183673469;0.64
p234_c2;4;0;23;1.0;0.14814814814814814;0.25806451612903225
p235_c1;21;2;15;0.9130434782608695;0.5833333333333334;0.7118644067796611
p236_c1;20;3;20;0.8695652173913043;0.5;0.634920634920635
p236_c2;9;1;32;0.9;0.21951219512195122;0.3529411764705882
p237_c1;1;2;14;0.3333333333333333;0.06666666666666667;0.1111111111111111
p237_c2;4;1;26;0.8;0.13333333333333333;0.2285714285714286
p241_c1;52;2;31;0.9629629629629629;0.6265060240963856;0.7591240875912408
p241_c2;21;1;26;0.9545454545454546;0.44680851063829785;0.6086956521739131
p242_c1;16;5;23;0.7619047619047619;0.41025641025641024;0.5333333333333333
p242_c2;24;6;10;0.8;0.7058823529411765;0.7500000000000001
p244_c1;14;2;16;0.875;0.4666666666666667;0.608695652173913
p244_c2;29;4;16;0.8787878787878788;0.6444444444444445;0.7435897435897436
p245_c1;31;5;24;0.8611111111111112;0.5636363636363636;0.6813186813186813
p246_c1;32;1;45;0.9696969696969697;0.4155844155844156;0.5818181818181818
p247_c1;20;10;25;0.6666666666666666;0.4444444444444444;0.5333333333333333
p247_c2;5;0;9;1.0;0.35714285714285715;0.5263157894736842
p248_c1;18;8;10;0.6923076923076923;0.6428571428571429;0.6666666666666666
p251_c1;21;1;20;0.9545454545454546;0.5121951219512195;0.6666666666666667
p251_c2;3;11;19;0.21428571428571427;0.13636363636363635;0.16666666666666663
p252_c1;23;3;34;0.8846153846153846;0.40350877192982454;0.5542168674698795
p252_c2;10;3;7;0.7692307692307693;0.5882352941176471;0.6666666666666667
p253_c1;26;7;44;0.7878787878787878;0.37142857142857144;0.5048543689320388
p253_c2;22;3;30;0.88;0.4230769230769231;0.5714285714285714
p256_c1;49;9;27;0.8448275862068966;0.6447368421052632;0.7313432835820897
p257_c1;5;4;49;0.5555555555555556;0.09259259259259259;0.15873015873015875
p257_c2;11;1;17;0.9166666666666666;0.39285714285714285;0.55
p259_c1;31;1;20;0.96875;0.6078431372549019;0.7469879518072288
p260_c1;32;1;36;0.9696969696969697;0.47058823529411764;0.6336633663366337
p260_c2;8;0;36;1.0;0.18181818181818182;0.3076923076923077
p262_c1;23;6;18;0.7931034482758621;0.5609756097560976;0.6571428571428573
p262_c2;11;1;27;0.9166666666666666;0.2894736842105263;0.43999999999999995
p262_c3;1;1;23;0.5;0.041666666666666664;0.07692307692307693
p263_c1;0;1;38;0.0;0.0;0
p263_c2;27;2;11;0.9310344827586207;0.7105263157894737;0.8059701492537312
p264_c1;25;7;23;0.78125;0.5208333333333334;0.625
p264_c2;19;2;7;0.9047619047619048;0.7307692307692307;0.8085106382978723
p265_c1;0;0;38;0;0.0;0
p265_c2;0;1;30;0.0;0.0;0
p266_c1;15;4;56;0.7894736842105263;0.2112676056338028;0.33333333333333337
p266_c2;18;1;11;0.9473684210526315;0.6206896551724138;0.75
p267_c1;22;3;28;0.88;0.44;0.5866666666666667
p267_c2;22;2;18;0.9166666666666666;0.55;0.6874999999999999
p268_c1;31;3;6;0.9117647058823529;0.8378378378378378;0.8732394366197184
p268_c2;2;2;13;0.5;0.13333333333333333;0.2105263157894737
p269_c1;50;4;12;0.9259259259259259;0.8064516129032258;0.8620689655172414
